Store Code,Mall/HS,Business Name,Zone,Zone New,City,State,Comment Date,Comment Date_NEW,Month_No.,Month,Quarter,Quarter,FY,Customer Response,Customer Rating,Sentiment,Response_Type
KLU,Mall,Metro Shoes,South Zone,South,Kochi,Kerala,25-04-2024 17:01,25-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"Although I initially loved these shoes when I bought them nearly a year ago, I'm disappointed to say that the sole has badly torn after only a short period of use. The tear has made the shoes uncomfortable and unsafe to wear. I expected better durability from a product at this price point.",1,NEGATIVE,Product Pricing
FBM,Mall,Mochi Shoes,South Zone,South,Bangaluru,Karnataka,25-04-2024 17:32,25-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"Pathetic  service, pathetic product, pathetic after support. Their products are low quality, won't last longer than 1 wear. Their after purchase service is a sham. You should be embarrassed. Don't waste your time here.",1,NEGATIVE,Product Quality
FBM,Mall,Mochi Shoes,South Zone,South,Bangaluru,Karnataka,25-04-2024 17:32,25-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"Pathetic  service, pathetic product, pathetic after support. Their products are low quality, won't last longer than 1 wear. Their after purchase service is a sham. You should be embarrassed. Don't waste your time here.

Edit 1 :  No response from the customer service team. And the owner in the comments want me to come back?

What a joke of a brand.",1,NEGATIVE,In-Store Experience
FGM,Mall,Mochi Shoes,South Zone,South,Bangaluru,Karnataka,25-04-2024 17:38,25-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,My son bought shoes from here. The product was pathetic. Don't waste your time here.,1,NEGATIVE,Product Quality
RBM,Mall,Mochi Shoes,South Zone,South,Bangaluru,Karnataka,25-04-2024 17:43,25-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,My son bought shoes from here. The product was pathetic. Don't waste your time here.,1,NEGATIVE,Product Quality
FBM,Mall,Mochi Shoes,South Zone,South,Bangaluru,Karnataka,25-04-2024 17:44,25-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,My son bought shoes from here. The product was pathetic. Don't waste your time here.,1,NEGATIVE,Product Quality
FBM,Mall,Mochi Shoes,South Zone,South,Bangaluru,Karnataka,25-04-2024 17:58,25-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"Low product quality, but want a 5 star feedback. Don't shop here. They are a sham",1,NEGATIVE,Product Quality
FBM,Mall,Mochi Shoes,South Zone,South,Bangaluru,Karnataka,25-04-2024 18:02,25-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Don’t get fooled by the customer rep. Their product is indeed low quality,1,NEGATIVE,Product Quality
FBM,Mall,Mochi Shoes,South Zone,South,Bangaluru,Karnataka,25-04-2024 18:10,25-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,7000 Rs shoes got  visible wear and tear after just one use😐,1,NEGATIVE,Product Quality
CAM,Mall,Mochi Shoes,East Zone,East,Kolkata,West Bengal,25-04-2024 18:56,25-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Very expensive,1,NEGATIVE,Product Pricing
RIP,Mall,Metro Shoes,East Zone,East,Raipur,Chhattisgarh,25-04-2024 19:48,25-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"When I came home and wore it, I realized that footwear was changed forcefully get feedback first
I was not blind, they changed the footwear and kept the defective product. now tell me what should I do I am thinking of going to their shop and throwing it away.....😠😠😠😠😠😠😠😤 Metro shoes Rama Mageto bilaspur",1,NEGATIVE,Product Assortment
FBM,Mall,Mochi Shoes,South Zone,South,Bangaluru,Karnataka,25-04-2024 20:03,25-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Wear and tear af the r using just once,1,NEGATIVE,Product Quality
JCQ,High-Street,Crocs,West Zone,West,Jodhpur,Rajasthan,25-04-2024 20:20,25-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Very expensive slippers,1,NEGATIVE,Product Pricing
DCP,High-Street,Metro Shoes,North Zone,North,New Delhi,Delhi,25-04-2024 22:02,25-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Worst experience cheap staff,1,NEGATIVE,In-Store Experience
LKR,High-Street,Metro Shoes,West Zone,West,Mumbai,Maharashtra,25-04-2024 22:50,25-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,The staff member here Irfan is very unprofessional and rude. Unwilling to help and very lazy. Will not recommend this store at all.,1,NEGATIVE,In-Store Experience
GOM,High-Street,Mochi Shoes,West Zone,West,PORVORIM,Goa,25-04-2024 23:26,25-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Exclusive Mochi store. Love it.,5,POSITIVE,In-Store Experience
TRC,High-Street,Metro Shoes,South Zone,South,Trichy,Tamil Nadu,26-04-2024 12:43,26-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Ok,4,POSITIVE,In-Store Experience
CTR,High-Street,Metro Shoes,South Zone,South,Coimbatore,Tamil Nadu,26-04-2024 14:52,26-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,So beautiful 👟👞collection 🤩,5,POSITIVE,Product Assortment
DNL,High-Street,Metro Shoes,South Zone,South,Dindigul,Tamil Nadu,26-04-2024 16:37,26-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Nice collections and best customer service.,5,POSITIVE,Product Assortment
TVM,Mall,Mochi Shoes,West Zone,West,Thane,Maharashtra,27-04-2024 14:31,27-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"Staff is helpful but has lot of space to improve. They ignore whatever you say and keep on saying exactly what they are trained. When I simply asked any discount they simply didn't replied and gave me bill. They make me feel like begger. That's so unprofessional. We have every right to ask for discount, right? Staff is wearing good cloths but they behave like roadside shop Staff who doesn't care about customer satisfaction or delight. They do have some bonus point scheme but staff shows middle finger when asked for anything around that.",1,NEGATIVE,In-Store Experience
VWQ,High-Street,Crocs,South Zone,South,Vijayawada,Andhra Pradesh,27-04-2024 14:43,27-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Authorized franchise..rates are as usual.. of you're good in online marketing then buy online,3,NEUTRAL,In-Store Experience
PBS,High-Street,Metro Shoes,East Zone,East,Patna,Bihar,27-04-2024 14:47,27-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Sandle 2 din hi pehene pe ukhad gya jb repair ke liye do to 10 din bol kr 15 din ho gye koi update nhi hai or ja kr puchne me 7 din or bta rha time lagega... Kya service hai metro ki na product accha na service,1,NEGATIVE,In-Store Experience
SAL,High-Street,Metro Shoes,South Zone,South,Salem,Tamil Nadu,27-04-2024 20:30,27-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Good service by staffs,5,POSITIVE,In-Store Experience
VWP,Mall,Metro Shoes,South Zone,South,Vijayawada,Andhra Pradesh,27-04-2024 20:52,27-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,50 years experience,5,POSITIVE,In-Store Experience
VLR,High-Street,Metro Shoes,South Zone,South,Vellore,Tamil Nadu,27-04-2024 20:55,27-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"Good shop with good display on the main katpadi vellore chitoor road.
The staff was very courteous.",5,POSITIVE,In-Store Experience
VDM,High-Street,Mochi Shoes,South Zone,South,Visakhapatnam,Andhra Pradesh,28-04-2024 00:44,28-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,New store in Vizag with great collections for men n women… the staff are friendly n cooperative. Store is well maintained with latest stocks…,5,POSITIVE,In-Store Experience
MRT,High-Street,Metro Shoes,North Zone,North,Meerut,Uttar Pradesh,28-04-2024 03:04,28-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,High price,3,NEUTRAL,Product Pricing
RNM,Mall,Mochi Shoes,East Zone,East,Ranchi,Jharkhand,28-04-2024 08:41,28-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Welcome,4,POSITIVE,In-Store Experience
TRC,High-Street,Metro Shoes,South Zone,South,Trichy,Tamil Nadu,28-04-2024 09:50,28-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,If you are ready to spend minimum 2k maximum 10k+ this is the best place to buy footwear in trichy,4,POSITIVE,Product Assortment
CBQ,High-Street,Crocs,South Zone,South,Chennai,Tamil Nadu,28-04-2024 11:35,28-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Ok,5,POSITIVE,In-Store Experience
RMM,Mall,Mochi Shoes,East Zone,East,Raipur,Chhattisgarh,28-04-2024 11:51,28-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Very nice,5,POSITIVE,In-Store Experience
RMM,Mall,Mochi Shoes,East Zone,East,Raipur,Chhattisgarh,28-04-2024 11:51,28-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Very nice,5,POSITIVE,In-Store Experience
RMM,Mall,Mochi Shoes,East Zone,East,Raipur,Chhattisgarh,28-04-2024 11:51,28-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Nise collection,5,POSITIVE,Product Assortment
MPM,High-Street,Mochi Shoes,South Zone,South,Chennai,Tamil Nadu,28-04-2024 14:01,28-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"The sales representative Syed was such a bliss to interact.

After a long time  i througly enjoyed shopping experience via a sales person

Thanks Syed",5,POSITIVE,In-Store Experience
JOM,High-Street,Mochi Shoes,West Zone,West,Jalgaon,Maharashtra,28-04-2024 14:18,28-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"You get excellent footwear here , good quality all salesman’s are very enthusiastic and polite. Must visit",5,POSITIVE,Product Quality
BHR,High-Street,Metro Shoes,South Zone,South,Bangaluru,Karnataka,28-04-2024 15:08,28-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,When we called to enquire for white shows they said it is available. On reaching here it is found there is not a single white shoes in stock.,1,NEGATIVE,In-Store Experience
PAM,Mall,Mochi Shoes,West Zone,West,Pune,Maharashtra,28-04-2024 15:21,28-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"Very bad survice
Very very bad bad manors nd rudely talking to customer",1,NEGATIVE,In-Store Experience
BHR,High-Street,Metro Shoes,South Zone,South,Bangaluru,Karnataka,28-04-2024 15:37,28-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"Good collection, staff is helpful",4,POSITIVE,In-Store Experience
VDS,High-Street,Metro Shoes,North Zone,North,Varanasi,Uttar Pradesh,28-04-2024 16:54,28-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"Bad quality shoe company, soul of the shoe gets cracked within a year just used 4-5 times",1,NEGATIVE,Product Quality
ERD,High-Street,Metro Shoes,South Zone,South,Erode,Tamil Nadu,29-04-2024 11:21,29-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Nice connection with affordable price,5,POSITIVE,Product Pricing
ERD,High-Street,Metro Shoes,South Zone,South,Erode,Tamil Nadu,29-04-2024 11:21,29-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Nice connection,5,POSITIVE,Product Assortment
KOM,High-Street,Mochi Shoes,West Zone,West,Kota,Rajasthan,29-04-2024 12:30,29-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Good variety,5,POSITIVE,Product Assortment
MUS,High-Street,Metro Shoes,South Zone,South,Madurai,Tamil Nadu,29-04-2024 12:42,29-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Good,5,POSITIVE,In-Store Experience
PJM,Mall,Mochi Shoes,West Zone,West,Pune,Maharashtra,29-04-2024 17:50,29-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"The Staff was very rude and busy in mobile and gossiping with each other . Not attending the customer , we ask for size but they are giving us reason without checking . Not expected from MOCHI brand . And specifically talking about JM road MOCHI . Afterwards we visit METRO there service was awesome and helped me to choose the perfect pair . Please try to improve your service @MOCHI (JM ROAD )",1,NEGATIVE,In-Store Experience
HYD,High-Street,Metro Shoes,South Zone,South,Hyderabad,Telangana,29-04-2024 19:42,29-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,One of the best places in Hyderabad to get best pair of shoes... Especially formal shoes and loafers.,5,POSITIVE,In-Store Experience
NTP,Mall,Metro Shoes,West Zone,West,Nagpur,Maharashtra,29-04-2024 19:46,29-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"Very adamant staff, no decency in engaging with customers,a bit Sketchy behaviour at some times.",1,NEGATIVE,In-Store Experience
KLH,High-Street,Metro Shoes,West Zone,West,Kolhapur,Maharashtra,29-04-2024 23:50,29-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Best quality shoes n chappals one can get here. Bit costly but reliable.,5,POSITIVE,Product Quality
BGL,High-Street,Metro Shoes,South Zone,South,Bangaluru,Karnataka,30-04-2024 06:19,30-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"Really low quality products,Extremely rude customer behaviour!!!!!",1,NEGATIVE,Product Quality
LUH,High-Street,Metro Shoes,North Zone,North,Lucknow,Uttar Pradesh,30-04-2024 06:24,30-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Very bad and not perfect and comfortable,1,NEGATIVE,In-Store Experience
SRT,High-Street,Metro Shoes,West Zone,West,Surat,Gujarat,30-04-2024 11:27,30-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,local service.,1,NEGATIVE,In-Store Experience
GRM,High-Street,Mochi Shoes,West Zone,West,Mumbai,Maharashtra,30-04-2024 13:50,30-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Very rude behaviour and customer service from Munawwar Shaikh and Shahid Shaikh at Grant Road Branch showing too much attitude. Manager was sitting there but no action taken by him was just an audience.,1,NEGATIVE,In-Store Experience
JWT,Mall,Metro Shoes,West Zone,West,Jaipur,Rajasthan,30-04-2024 14:48,30-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Amazing experience of shopping get all brands under one roof very helpful staff specially the manager showed us what exactly i am looking for kudos team 🙌,5,POSITIVE,In-Store Experience
JWT,Mall,Metro Shoes,West Zone,West,Jaipur,Rajasthan,30-04-2024 16:00,30-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Excellent collection staff service also very excellent,5,POSITIVE,In-Store Experience
PJQ,High-Street,Crocs,West Zone,West,Pune,Maharashtra,30-04-2024 17:05,30-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Bad experience here of purchase.... Sales person Akash is very rude with female clinit.. Not recommend this shop,1,NEGATIVE,In-Store Experience
VWQ,High-Street,Crocs,South Zone,South,Vijayawada,Andhra Pradesh,30-04-2024 18:00,30-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Good,4,POSITIVE,In-Store Experience
JPS,High-Street,Metro Shoes,West Zone,West,Jaipur,Rajasthan,30-04-2024 19:42,30-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Ameging,5,POSITIVE,In-Store Experience
CLB,High-Street,Metro Shoes,West Zone,West,Mumbai,Maharashtra,30-04-2024 20:51,30-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Great service and very helpful staff ❤️,5,POSITIVE,In-Store Experience
MRQ,Mall,Crocs,South Zone,South,Mangalore,Karnataka,30-04-2024 22:15,30-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"I have to share a devastating experience from this store.
I am crocs product user for the past six years. I purchased my first crocs footwear from the city centre mall, mochi store. I just loved the quality and it lasted me three years. The next purchase was from this store, however my bad luck the footwear buckle broke, but luckily I got the repair done for that footwear.
During that time I had purchased a footwear worth RS 4995. As I was abroad couldn't use it. The first time I used it for my brother's wedding and the third time I used it the footwear worn out in such a way that I could never use it. I paid a whopping amount for the footwear but couldn't use it even three times. The shop owners told me that I need to be using it regularly or else crocs product will worn out.
Coming to another footwear which I bought during the same time from this store itself I have been using it regularly, but still even that didn't last long. The crocs quality has dropped to a great extent. Really sad part. I am sharing the pictures here. I haven't worn it much but rs 8000 which is really a whopping amount for a middle class family.  My brother also had purchased a footwear paying a whopping amount from this store and even that didn't last long.",1,NEGATIVE,Product Quality
BJQ,High-Street,Crocs,South Zone,South,Bangaluru,Karnataka,01-05-2024 12:40,01-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,"Highly unprofessional...The staff don't care about any concerns raised.

I recently went to this store regarding repair for my crocs. The staff without even properly checking said it cannot be repaired..When I started to complain a little they totally ignored me and didn't even try to listen to what I was saying.

When I paid  3-4k on a footwear I expected it to last atleast 2 years and some form of support/service on any issues from the so called authorised stores or whatever.. Highly disappointed...",1,NEGATIVE,In-Store Experience
DLN,Mall,Metro Shoes,North Zone,North,New Delhi,Delhi,01-05-2024 12:44,01-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,Nice outlet and staff is quite well disciplined.,5,POSITIVE,In-Store Experience
KCQ,High-Street,Crocs,South Zone,South,Kochi,Kerala,01-05-2024 13:44,01-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,Good,3,NEUTRAL,In-Store Experience
TLU,Mall,Metro Shoes,South Zone,South,Thiruvananthapuram,Kerala,01-05-2024 15:25,01-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,"Showroom with good collection .Staff polite , very helpful & well behaved! Good service !",5,POSITIVE,In-Store Experience
MKQ,Mall,Crocs,South Zone,South,Chennai,Tamil Nadu,01-05-2024 17:48,01-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,"Nice, Lower ground shop available",5,POSITIVE,In-Store Experience
MEX,Mall,Metro Shoes,South Zone,South,Chennai,Tamil Nadu,01-05-2024 18:05,01-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,"Mr. Karim of Metro shoes was sooooo helpful, I have no words to appreciate his patience, kindness and help as he guided and made me choose the right pair of walking shoes for my back pain. I thank him so much!!!",5,POSITIVE,In-Store Experience
MEX,Mall,Metro Shoes,South Zone,South,Chennai,Tamil Nadu,01-05-2024 18:05,01-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,"Mr. Karim of Metro shoes was helpful, I appreciate his patience, kindness and help as he guided and made me choose the right pair of walking shoes for my back pain. I thank him very much!!!",5,POSITIVE,Customer Service
MEX,Mall,Metro Shoes,South Zone,South,Chennai,Tamil Nadu,01-05-2024 18:16,01-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,"Great service and very friendly staff.
Highly recommended for comfortable and long lasting footwear.",5,POSITIVE,In-Store Experience
NGM,High-Street,Mochi Shoes,West Zone,West,Nagpur,Maharashtra,01-05-2024 19:30,01-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,Good,5,POSITIVE,In-Store Experience
YMN,High-Street,Metro Shoes,North Zone,North,Yamuna Nagar,Haryana,01-05-2024 20:57,01-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,V classy and elegant shoes,4,POSITIVE,Product Assortment
TIM,High-Street,Mochi Shoes,South Zone,South,Tirupati,Andhra Pradesh,02-05-2024 09:46,02-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,"First Experience was not good as i bought crocs for my daughter, the price tag was not mentioned or tagged but came to know after billing and got a bit trouble in parking car as i have to park on the road side.",3,NEUTRAL,In-Store Experience
BQM,High-Street,Mochi Shoes,South Zone,South,Bangaluru,Karnataka,02-05-2024 12:02,02-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,Not bad,4,POSITIVE,In-Store Experience
PGV,High-Street,Walkway Shoes,West Zone,West,Pune,Maharashtra,02-05-2024 12:09,02-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,Not a single person tended to me as i stood there in the store. Everyone just kept looking at me. Felt unwelcomed and unattended to. I also prompted someone as i wanted to ask something. But i was as good as invisible.,1,NEGATIVE,In-Store Experience
NGM,High-Street,Mochi Shoes,West Zone,West,Nagpur,Maharashtra,02-05-2024 12:16,02-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,"Excellent brand, articles, service and staff",5,POSITIVE,In-Store Experience
HYD,High-Street,Metro Shoes,South Zone,South,Hyderabad,Telangana,02-05-2024 14:27,02-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,Now quality is very bad prices very high Hollywood is better,1,NEGATIVE,Product Quality
NCV,High-Street,Walkway Shoes,West Zone,West,Nashik,Maharashtra,02-05-2024 21:26,02-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,The customer service was very poor. We were trying some footwears and the sales person was putting them in the box. Did not expect this bad service from walkway,1,NEGATIVE,In-Store Experience
NCV,High-Street,Walkway Shoes,West Zone,West,Nashik,Maharashtra,02-05-2024 21:33,02-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,"Worst customer service, mannerless employees. Don't know how to speak and treat female customers",1,NEGATIVE,In-Store Experience
ADM,High-Street,Mochi Shoes,West Zone,West,Anand,Gujarat,03-05-2024 17:36,03-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,"Very Bad product I have riceved from that shop,
Within 14 day the insole of chappal is tearing out,
Its expensive chappal and just in 14 days its tear, and staff told me it will be repaire in 20 days...!! How shocked it.. BC mera 2500/- 2 month k liye ye log kha k baith gaye.. bolo to ketne logo ga kata hoga in logo ne ....",1,NEGATIVE,Product Quality
HNQ,High-Street,Crocs,South Zone,South,Hyderabad,Telangana,03-05-2024 17:48,03-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,"What is the point in having an offline store if you won't let a customer try on different footwear available in the store?

On my recent visit, I was informed that store has a no ""try on"" policy and that I could only try the footwear I was sure I would buy. Ridiculous to say the least.",1,NEGATIVE,Product Assortment
ABQ,High-Street,Crocs,West Zone,West,Ahmedabad,Gujarat,03-05-2024 19:46,03-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,Worst ever service providers. No one talks properly. Doesn't exchange items bought online even though policy clearly allows it.,1,NEGATIVE,In-Store Experience
ABQ,High-Street,Crocs,West Zone,West,Ahmedabad,Gujarat,03-05-2024 22:15,03-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,Inactive Salesman,3,NEUTRAL,In-Store Experience
KCP,High-Street,Metro Shoes,South Zone,South,Kanchipuram,Tamil Nadu,04-05-2024 07:59,04-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,Worst customer Service. Staffs r like Womanizer's. Particularly that Manager Rizwan behavior is worst...,1,NEGATIVE,In-Store Experience
FBM,Mall,Mochi Shoes,South Zone,South,Bangaluru,Karnataka,04-05-2024 12:34,04-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,"Low quality product, worst customer service. Surprised how incompetent the customer service is. Just fire everybody and shut your shop.

Don't waste your time shopping here. They don't deserve your time",1,NEGATIVE,In-Store Experience
MEX,Mall,Metro Shoes,South Zone,South,Chennai,Tamil Nadu,04-05-2024 14:26,04-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,The staff here at Metro are approachable and always willing to help with a pleasant disposition,5,POSITIVE,In-Store Experience
NCL,High-Street,Metro Shoes,South Zone,South,Nagercoil,Tamil Nadu,04-05-2024 15:13,04-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,Worst quality of shoe lace and shoe ..u need 2 Lace per month for a shoe worth 4k..it’s nt a brand ..it’s a scam,1,NEGATIVE,Product Quality
SBQ,Mall,Crocs,South Zone,South,Shivamogga,Karnataka,04-05-2024 20:26,04-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,Need new collections,5,POSITIVE,Product Assortment
PEM,Mall,Mochi Shoes,West Zone,West,Pune,Maharashtra,04-05-2024 22:21,04-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,"Experience with the manager of the store was the worst ever.
Communication was quite rude.",1,NEGATIVE,In-Store Experience
NKS,Mall,Metro Shoes,West Zone,West,Nashik,Maharashtra,04-05-2024 22:44,04-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,Good,4,POSITIVE,In-Store Experience
SBQ,Mall,Crocs,South Zone,South,Shivamogga,Karnataka,05-05-2024 14:11,05-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,Nice,5,POSITIVE,In-Store Experience
LKR,High-Street,Metro Shoes,West Zone,West,Mumbai,Maharashtra,05-05-2024 15:04,05-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,"This is a very good place to buy shoes because of their varieties and  i would personally recommend to buy loafers from here but its little too expensive and the quality and the look is amazing the staffs here are really humble especially SHORAB LAL SHAIKH is really good at sales he gave me the perfect shoes with the correct size
I would recommend to come buy footwear's here",5,POSITIVE,Product Quality
HJM,High-Street,Mochi Shoes,South Zone,South,Hyderabad,Telangana,05-05-2024 16:39,05-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,The staff is helpfull,5,POSITIVE,In-Store Experience
KMM,High-Street,Mochi Shoes,West Zone,West,Navi Mumbai,Maharashtra,05-05-2024 19:41,05-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,"Disgusting 4 salesman only 2 customers but they could not attend just 2 customers.

Full time pass.",1,NEGATIVE,In-Store Experience
MRM,Mall,Mochi Shoes,South Zone,South,Mangalore,Karnataka,05-05-2024 19:45,05-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,"Best products available. Staffs are very good and friendly. Loved the experience over here.
Collection is decent and all size footwear are available.",4,POSITIVE,In-Store Experience
BSQ,High-Street,Crocs,South Zone,South,Bangaluru,Karnataka,05-05-2024 19:55,05-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,Good place,5,POSITIVE,In-Store Experience
NPQ,High-Street,Crocs,West Zone,West,Nagpur,Maharashtra,05-05-2024 21:11,05-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,Staff Not attentive and ignorant,1,NEGATIVE,In-Store Experience
SRT,High-Street,Metro Shoes,West Zone,West,Surat,Gujarat,05-05-2024 21:25,05-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,Worst staff you can experience the store is not capable to handle such a big brand...and there is customer support of the brand...my worst shopping experience ever,1,NEGATIVE,In-Store Experience
TLM,Mall,Mochi Shoes,South Zone,South,Thiruvananthapuram,Kerala,05-05-2024 21:25,05-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,Good staff,5,POSITIVE,In-Store Experience
NTP,Mall,Metro Shoes,West Zone,West,Nagpur,Maharashtra,05-05-2024 21:27,05-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,"Welcoming staff, excellent service.",5,POSITIVE,In-Store Experience
NTP,Mall,Metro Shoes,West Zone,West,Nagpur,Maharashtra,05-05-2024 21:35,05-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,Good and excellent service by All Staff keep it up,5,POSITIVE,In-Store Experience
PUN,High-Street,Metro Shoes,West Zone,West,Pune,Maharashtra,05-05-2024 21:44,05-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,Metro shoes very good quality in all off footwear I was vist the store in Deccan Gymkhana store ther staff is very helpfull staff and good variety in all footwear nice collection and staff sarvice 🙏,5,POSITIVE,Product Quality
CLB,High-Street,Metro Shoes,West Zone,West,Mumbai,Maharashtra,05-05-2024 21:58,05-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,Excellent variety and service! Mr Hussain was a great service man.,5,POSITIVE,In-Store Experience
MSM,High-Street,Mochi Shoes,South Zone,South,Chennai,Tamil Nadu,06-05-2024 11:16,06-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,Very good,5,POSITIVE,In-Store Experience
DDO,High-Street,Metro Shoes,North Zone,North,Dehradun,Uttarakhand,06-05-2024 16:21,06-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,Good,5,POSITIVE,In-Store Experience
PBM,High-Street,Mochi Shoes,East Zone,East,Patna,Bihar,06-05-2024 17:32,06-05-2024,5,B. MAY,Q1(AMJ),Q1,FY24-25,Best collection,5,POSITIVE,Product Assortment
